name,description,type,rating,imageUrl,latitude,longitude,destinationName
Imagicaa,"Imagicaa is a popular Amusement Park located in Lonavala, known for its Recreational significance.",ATTRACTION,1.4,imagicaa.jpg,0,0,Lonavala
Bangalore Palace,"Bangalore Palace is a popular Palace located in Bangalore, known for its Historical significance.",ATTRACTION,4.2,bangalore_palace.jpg,0,0,Bangalore
Lalbagh Botanical Garden,"Lalbagh Botanical Garden is a popular Botanical Garden located in Bangalore, known for its Nature significance.",ATTRACTION,4.4,lalbagh_botanical_garden.jpg,0,0,Bangalore
Cubbon Park,"Cubbon Park is a popular Park located in Bangalore, known for its Nature significance.",ATTRACTION,4.4,cubbon_park.jpg,0,0,Bangalore
Vidhana Soudha,"Vidhana Soudha is a popular Government Building located in Bangalore, known for its Architectural significance.",ATTRACTION,4.6,vidhana_soudha.jpg,0,0,Bangalore
ISKCON Temple Bangalore,"ISKCON Temple Bangalore is a popular Temple located in Bangalore, known for its Religious significance.",ATTRACTION,4.6,iskcon_temple_bangalore.jpg,0,0,Bangalore
Charminar,"Charminar is a popular Landmark located in Hyderabad, known for its Historical significance.",ATTRACTION,4.5,charminar.jpg,0,0,Hyderabad
Golconda Fort,"Golconda Fort is a popular Fort located in Hyderabad, known for its Historical significance.",ATTRACTION,4.4,golconda_fort.jpg,0,0,Hyderabad
Hussain Sagar Lake,"Hussain Sagar Lake is a popular Lake located in Hyderabad, known for its Scenic significance.",ATTRACTION,4.3,hussain_sagar_lake.jpg,0,0,Hyderabad
Ramoji Film City,"Ramoji Film City is a popular Film Studio located in Hyderabad, known for its Entertainment significance.",ATTRACTION,4.4,ramoji_film_city.jpg,0,0,Hyderabad
Salar Jung Museum,"Salar Jung Museum is a popular Museum located in Hyderabad, known for its Historical significance.",ATTRACTION,4.4,salar_jung_museum.jpg,0,0,Hyderabad
Qutb Shahi Tombs,"Qutb Shahi Tombs is a popular Tombs located in Hyderabad, known for its Historical significance.",ATTRACTION,4.4,qutb_shahi_tombs.jpg,0,0,Hyderabad
Birla Mandir,"Birla Mandir is a popular Temple located in Hyderabad, known for its Religious significance.",ATTRACTION,4.7,birla_mandir.jpg,0,0,Hyderabad
Chowmahalla Palace,"Chowmahalla Palace is a popular Palace located in Hyderabad, known for its Historical significance.",ATTRACTION,4.4,chowmahalla_palace.jpg,0,0,Hyderabad
Nehru Zoological Park,"Nehru Zoological Park is a popular Zoo located in Hyderabad, known for its Wildlife significance.",ATTRACTION,4.2,nehru_zoological_park.jpg,0,0,Hyderabad
Lumbini Park,"Lumbini Park is a popular Park located in Hyderabad, known for its Recreational significance.",ATTRACTION,4.1,lumbini_park.jpg,0,0,Hyderabad
Victoria Memorial,"Victoria Memorial is a popular Museum located in Kolkata, known for its Historical significance.",ATTRACTION,4.6,victoria_memorial.jpg,0,0,Kolkata
Howrah Bridge,"Howrah Bridge is a popular Bridge located in Kolkata, known for its Architectural significance.",ATTRACTION,4.6,howrah_bridge.jpg,0,0,Kolkata
Indian Museum,"Indian Museum is a popular Museum located in Kolkata, known for its Historical significance.",ATTRACTION,4.6,indian_museum.jpg,0,0,Kolkata
Dakshineswar Kali Temple,"Dakshineswar Kali Temple is a popular Temple located in Kolkata, known for its Religious significance.",ATTRACTION,4.7,dakshineswar_kali_temple.jpg,0,0,Kolkata
Kalighat Kali Temple,"Kalighat Kali Temple is a popular Temple located in Kolkata, known for its Religious significance.",ATTRACTION,4.4,kalighat_kali_temple.jpg,0,0,Kolkata
Eden Gardens,"Eden Gardens is a popular Cricket Ground located in Kolkata, known for its Sports significance.",ATTRACTION,4.1,eden_gardens.jpg,0,0,Kolkata
Alipore Zoological Gardens,"Alipore Zoological Gardens is a popular Zoo located in Kolkata, known for its Wildlife significance.",ATTRACTION,4.3,alipore_zoological_gardens.jpg,0,0,Kolkata
Science City Kolkata,"Science City Kolkata is a popular Science located in Kolkata, known for its Educational significance.",ATTRACTION,4.4,science_city_kolkata.jpg,0,0,Kolkata
Belur Math,"Belur Math is a popular Site located in Kolkata, known for its Religious significance.",ATTRACTION,4.7,belur_math.jpg,0,0,Kolkata
Marble Palace,"Marble Palace is a popular Palace located in Kolkata, known for its Historical significance.",ATTRACTION,4.4,marble_palace.jpg,0,0,Kolkata
Calangute Beach,"Calangute Beach is a popular Beach located in Goa, known for its Scenic significance.",ATTRACTION,4.4,calangute_beach.jpg,0,0,Goa
Basilica of Bom Jesus,"Basilica of Bom Jesus is a popular Church located in Goa, known for its Historical significance.",ATTRACTION,4.5,basilica_of_bom_jesus.jpg,0,0,Goa
Fort Aguada,"Fort Aguada is a popular Fort located in Goa, known for its Historical significance.",ATTRACTION,4.2,fort_aguada.jpg,0,0,Goa
Dudhsagar Falls,"Dudhsagar Falls is a popular Waterfall located in Goa, known for its Nature significance.",ATTRACTION,4.6,dudhsagar_falls.jpg,0,0,Goa
Anjuna Beach,"Anjuna Beach is a popular Beach located in Goa, known for its Scenic significance.",ATTRACTION,4.4,anjuna_beach.jpg,0,0,Goa
Chapora Fort,"Chapora Fort is a popular Fort located in Goa, known for its Historical significance.",ATTRACTION,4.2,chapora_fort.jpg,0,0,Goa
Se Cathedral,"Se Cathedral is a popular Church located in Goa, known for its Historical significance.",ATTRACTION,4.5,se_cathedral.jpg,0,0,Goa
Baga Beach,"Baga Beach is a popular Beach located in Goa, known for its Scenic significance.",ATTRACTION,4.5,baga_beach.jpg,0,0,Goa
Arambol Beach,"Arambol Beach is a popular Beach located in Goa, known for its Scenic significance.",ATTRACTION,4.6,arambol_beach.jpg,0,0,Goa
Palolem Beach,"Palolem Beach is a popular Beach located in Goa, known for its Scenic significance.",ATTRACTION,4.6,palolem_beach.jpg,0,0,Goa
Colva Beach,"Colva Beach is a popular Beach located in Goa, known for its Scenic significance.",ATTRACTION,4.3,colva_beach.jpg,0,0,Goa
Miramar Beach,"Miramar Beach is a popular Beach located in Goa, known for its Scenic significance.",ATTRACTION,4.2,miramar_beach.jpg,0,0,Goa
Aguada Beach,"Aguada Beach is a popular Beach located in Goa, known for its Scenic significance.",ATTRACTION,4.5,aguada_beach.jpg,0,0,Goa
Dr. Salim Ali Bird Santuary,"Dr. Salim Ali Bird Santuary is a popular Bird Sanctuary located in Goa, known for its Wildlife significance.",ATTRACTION,3.9,dr._salim_ali_bird_santuary.jpg,0,0,Goa
Sabarmati Ashram,"Sabarmati Ashram is a popular Historical located in Ahmedabad, known for its Historical significance.",ATTRACTION,4.6,sabarmati_ashram.jpg,0,0,Ahmedabad
Dwarkadhish Temple,"Dwarkadhish Temple is a popular Temple located in Dwarka, known for its Religious significance.",ATTRACTION,4.7,dwarkadhish_temple.jpg,0,0,Dwarka
Gir National Park,"Gir National Park is a popular National Park located in Junagadh, known for its Wildlife significance.",ATTRACTION,4.5,gir_national_park.jpg,0,0,Junagadh
White Desert,"White Desert is a popular Site located in Bhuj, known for its Nature significance.",ATTRACTION,4.6,white_desert.jpg,0,0,Bhuj
Laxmi Vilas Palace,"Laxmi Vilas Palace is a popular Palace located in Vadodara, known for its Historical significance.",ATTRACTION,4.4,laxmi_vilas_palace.jpg,0,0,Vadodara
Somnath Temple,"Somnath Temple is a popular Temple located in Somnath, known for its Religious significance.",ATTRACTION,4.8,somnath_temple.jpg,0,0,Somnath
Rann Utsav,"Rann Utsav is a popular Cultural located in Rann of Kutch, known for its Cultural significance.",ATTRACTION,4.9,rann_utsav.jpg,0,0,Rann of Kutch
Statue of Unity,"Statue of Unity is a popular Monument located in Kevadia, known for its Historical significance.",ATTRACTION,4.6,statue_of_unity.jpg,0,0,Kevadia
Dandi Kutir,"Dandi Kutir is a popular Museum located in Gandhinagar, known for its Historical significance.",ATTRACTION,4.5,dandi_kutir.jpg,0,0,Gandhinagar
Sabarmati Riverfront,"Sabarmati Riverfront is a popular Urban Development Project located in Ahmedabad, known for its Recreational significance.",ATTRACTION,4.6,sabarmati_riverfront.jpg,0,0,Ahmedabad
Manek Chowk,"Manek Chowk is a popular Market located in Ahmedabad, known for its Food significance.",ATTRACTION,4.4,manek_chowk.jpg,0,0,Ahmedabad
Kankaria Lake,"Kankaria Lake is a popular Lake located in Ahmedabad, known for its Recreational significance.",ATTRACTION,4.5,kankaria_lake.jpg,0,0,Ahmedabad
Science City,"Science City is a popular Science located in Ahmedabad, known for its Educational significance.",ATTRACTION,4.4,science_city.jpg,0,0,Ahmedabad
Hawa Mahal,"Hawa Mahal is a popular Palace located in Jaipur, known for its Architectural significance.",ATTRACTION,4.4,hawa_mahal.jpg,0,0,Jaipur
City Palace,"City Palace is a popular Palace located in Udaipur, known for its Historical significance.",ATTRACTION,4.4,city_palace.jpg,0,0,Udaipur
Jaisalmer Fort,"Jaisalmer Fort is a popular Fort located in Jaisalmer, known for its Historical significance.",ATTRACTION,4.4,jaisalmer_fort.jpg,0,0,Jaisalmer
Ranthambore National Park,"Ranthambore National Park is a popular Wildlife Sanctuary located in Sawai Madhopur, known for its Wildlife significance.",ATTRACTION,4.6,ranthambore_national_park.jpg,0,0,Sawai Madhopur
Pushkar Lake,"Pushkar Lake is a popular Temple located in Pushkar, known for its Religious significance.",ATTRACTION,4.4,pushkar_lake.jpg,0,0,Pushkar
Ajmer Sharif Dargah,"Ajmer Sharif Dargah is a popular Shrine located in Ajmer, known for its Religious significance.",ATTRACTION,4.6,ajmer_sharif_dargah.jpg,0,0,Ajmer
Mehrangarh Fort,"Mehrangarh Fort is a popular Fort located in Jodhpur, known for its Historical significance.",ATTRACTION,4.6,mehrangarh_fort.jpg,0,0,Jodhpur
Chittorgarh Fort,"Chittorgarh Fort is a popular Fort located in Chittorgarh, known for its Historical significance.",ATTRACTION,4.6,chittorgarh_fort.jpg,0,0,Chittorgarh
Dilwara Temples,"Dilwara Temples is a popular Temple located in Mount Abu, known for its Religious significance.",ATTRACTION,4.6,dilwara_temples.jpg,0,0,Mount Abu
Junagarh Fort,"Junagarh Fort is a popular Fort located in Bikaner, known for its Historical significance.",ATTRACTION,4.5,junagarh_fort.jpg,0,0,Bikaner
Amber Fort,"Amber Fort is a popular Fort located in Jaipur, known for its Historical significance.",ATTRACTION,4.6,amber_fort.jpg,0,0,Jaipur
Jaigarh Fort,"Jaigarh Fort is a popular Fort located in Jaipur, known for its Historical significance.",ATTRACTION,4.5,jaigarh_fort.jpg,0,0,Jaipur
Lake Pichola,"Lake Pichola is a popular Lake located in Udaipur, known for its Nature significance.",ATTRACTION,4.6,lake_pichola.jpg,0,0,Udaipur
Golden Temple (Harmandir Sahib),"Golden Temple (Harmandir Sahib) is a popular Religious Site located in Amritsar, known for its Spiritual significance.",ATTRACTION,4.9,golden_temple_(harmandir_sahib).jpg,0,0,Amritsar
Jallianwala Bagh,"Jallianwala Bagh is a popular Memorial located in Amritsar, known for its Historical significance.",ATTRACTION,4.8,jallianwala_bagh.jpg,0,0,Amritsar
Wagah Border,"Wagah Border is a popular Border Crossing located in Amritsar, known for its Cultural significance.",ATTRACTION,4.8,wagah_border.jpg,0,0,Amritsar
Rock Garden,"Rock Garden is a popular Sculpture Garden located in Chandigarh, known for its Artistic significance.",ATTRACTION,4.5,rock_garden.jpg,0,0,Chandigarh
Alappuzha Beach,"Alappuzha Beach is a popular Beach located in Alappuzha, known for its Recreational significance.",ATTRACTION,4.5,alappuzha_beach.jpg,0,0,Alappuzha
Munnar Tea Gardens,"Munnar Tea Gardens is a popular Scenic Area located in Munnar, known for its Nature significance.",ATTRACTION,4.3,munnar_tea_gardens.jpg,0,0,Munnar
Fort Kochi,"Fort Kochi is a popular Site located in Kochi, known for its Historical significance.",ATTRACTION,4.4,fort_kochi.jpg,0,0,Kochi
Padmanabhaswamy Temple,"Padmanabhaswamy Temple is a popular Temple located in Thiruvananthapuram, known for its Religious significance.",ATTRACTION,4.7,padmanabhaswamy_temple.jpg,0,0,Thiruvananthapuram
Kozhikode Beach,"Kozhikode Beach is a popular Beach located in Kozhikode, known for its Recreational significance.",ATTRACTION,3.9,kozhikode_beach.jpg,0,0,Kozhikode
Wayanad Wildlife Sanctuary,"Wayanad Wildlife Sanctuary is a popular Wildlife Sanctuary located in Wayanad, known for its Wildlife significance.",ATTRACTION,4.5,wayanad_wildlife_sanctuary.jpg,0,0,Wayanad
Periyar National Park,"Periyar National Park is a popular National Park located in Thekkady, known for its Wildlife significance.",ATTRACTION,4.3,periyar_national_park.jpg,0,0,Thekkady
Kumarakom Bird Sanctuary,"Kumarakom Bird Sanctuary is a popular Bird Sanctuary located in Kumarakom, known for its Wildlife significance.",ATTRACTION,3.8,kumarakom_bird_sanctuary.jpg,0,0,Kumarakom
Varkala Beach,"Varkala Beach is a popular Beach located in Varkala, known for its Recreational significance.",ATTRACTION,4.6,varkala_beach.jpg,0,0,Varkala
Bekal Fort,"Bekal Fort is a popular Fort located in Bekal, known for its Historical significance.",ATTRACTION,4.5,bekal_fort.jpg,0,0,Bekal
Kovalam Beach,"Kovalam Beach is a popular Beach located in Kovalam, known for its Recreational significance.",ATTRACTION,4.4,kovalam_beach.jpg,0,0,Kovalam
St. Angelo Fort,"St. Angelo Fort is a popular Fort located in Kannur, known for its Historical significance.",ATTRACTION,4.4,st._angelo_fort.jpg,0,0,Kannur
Seethargundu Viewpoint,"Seethargundu Viewpoint is a popular Viewpoint located in Nelliyampathy, known for its Nature significance.",ATTRACTION,4.5,seethargundu_viewpoint.jpg,0,0,Nelliyampathy
Kerala Folklore Museum,"Kerala Folklore Museum is a popular Cultural located in Kochi, known for its Cultural significance.",ATTRACTION,4.4,kerala_folklore_museum.jpg,0,0,Kochi
Wonderla Amusement Park,"Wonderla Amusement Park is a popular Amusement Park located in Kochi, known for its Entertainment significance.",ATTRACTION,4.6,wonderla_amusement_park.jpg,0,0,Kochi
Mysore Palace,"Mysore Palace is a popular Palace located in Mysore, known for its Historical significance.",ATTRACTION,4.6,mysore_palace.jpg,0,0,Mysore
Hampi Archaeological Ruins,"Hampi Archaeological Ruins is a popular Site located in Hampi, known for its Historical significance.",ATTRACTION,4.7,hampi_archaeological_ruins.jpg,0,0,Hampi
Abbey Falls,"Abbey Falls is a popular Waterfall located in Coorg, known for its Nature significance.",ATTRACTION,4.1,abbey_falls.jpg,0,0,Coorg
Om Beach,"Om Beach is a popular Beach located in Gokarna, known for its Nature significance.",ATTRACTION,4.5,om_beach.jpg,0,0,Gokarna
Mullayanagiri,"Mullayanagiri is a popular Mountain Peak located in Chikmagalur, known for its Nature significance.",ATTRACTION,4.5,mullayanagiri.jpg,0,0,Chikmagalur
Badami Cave Temples,"Badami Cave Temples is a popular Cave located in Badami, known for its Religious significance.",ATTRACTION,4.6,badami_cave_temples.jpg,0,0,Badami
Jog Falls,"Jog Falls is a popular Waterfall located in Shivamogga, known for its Nature significance.",ATTRACTION,4.6,jog_falls.jpg,0,0,Shivamogga
Panambur Beach,"Panambur Beach is a popular Beach located in Mangalore, known for its Recreational significance.",ATTRACTION,4.5,panambur_beach.jpg,0,0,Mangalore
Murudeshwar Temple,"Murudeshwar Temple is a popular Temple located in Murudeshwar, known for its Religious significance.",ATTRACTION,4.7,murudeshwar_temple.jpg,0,0,Murudeshwar
Gol Gumbaz,"Gol Gumbaz is a popular Mausoleum located in Bijapur, known for its Historical significance.",ATTRACTION,4.5,gol_gumbaz.jpg,0,0,Bijapur
Bandipur National Park,"Bandipur National Park is a popular National Park located in Bandipur, known for its Wildlife significance.",ATTRACTION,4.4,bandipur_national_park.jpg,0,0,Bandipur
Halebidu Hoysaleswara Temple,"Halebidu Hoysaleswara Temple is a popular Temple located in Halebidu, known for its Religious significance.",ATTRACTION,4.7,halebidu_hoysaleswara_temple.jpg,0,0,Halebidu
Shaniwar Wada,"Shaniwar Wada is a popular Fort located in Pune, known for its Historical significance.",ATTRACTION,4.4,shaniwar_wada.jpg,0,0,Pune
Ajanta Caves,"Ajanta Caves is a popular Cave located in Aurangabad, known for its Historical significance.",ATTRACTION,4.6,ajanta_caves.jpg,0,0,Aurangabad
Sula Vineyards,"Sula Vineyards is a popular Vineyard located in Nashik, known for its Recreational significance.",ATTRACTION,4.1,sula_vineyards.jpg,0,0,Nashik
Sai Baba Temple,"Sai Baba Temple is a popular Temple located in Shirdi, known for its Religious significance.",ATTRACTION,4.7,sai_baba_temple.jpg,0,0,Shirdi
Alibaug Beach,"Alibaug Beach is a popular Beach located in Alibaug, known for its Recreational significance.",ATTRACTION,4.2,alibaug_beach.jpg,0,0,Alibaug
Ganapatipule Temple,"Ganapatipule Temple is a popular Temple located in Ratnagiri, known for its Religious significance.",ATTRACTION,4.7,ganapatipule_temple.jpg,0,0,Ratnagiri
Deekshabhoomi,"Deekshabhoomi is a popular Monument located in Nagpur, known for its Religious significance.",ATTRACTION,4.5,deekshabhoomi.jpg,0,0,Nagpur
Mahalakshmi Temple,"Mahalakshmi Temple is a popular Temple located in Kolhapur, known for its Religious significance.",ATTRACTION,4.8,mahalakshmi_temple.jpg,0,0,Kolhapur
Karla Caves,"Karla Caves is a popular Cave located in Lonavala, known for its Historical significance.",ATTRACTION,4.4,karla_caves.jpg,0,0,Lonavala
Tarkarli Beach,"Tarkarli Beach is a popular Beach located in Tarkarli, known for its Recreational significance.",ATTRACTION,4.6,tarkarli_beach.jpg,0,0,Tarkarli
Kaas Plateau,"Kaas Plateau is a popular Valley located in Satara, known for its Nature significance.",ATTRACTION,4.4,kaas_plateau.jpg,0,0,Satara
Echo Point,"Echo Point is a popular Viewpoint located in Matheran, known for its Nature significance.",ATTRACTION,4.4,echo_point.jpg,0,0,Matheran
Ellora Caves,"Ellora Caves is a popular Cave located in Ajanta, known for its Historical significance.",ATTRACTION,4.7,ellora_caves.jpg,0,0,Ajanta
Khajuraho Group of Monuments,"Khajuraho Group of Monuments is a popular Temples located in Khajuraho, known for its Cultural significance.",ATTRACTION,4.7,khajuraho_group_of_monuments.jpg,0,0,Khajuraho
Sanchi Stupa,"Sanchi Stupa is a popular Monument located in Bhopal, known for its Historical significance.",ATTRACTION,4.7,sanchi_stupa.jpg,0,0,Bhopal
Rajwada Palace,"Rajwada Palace is a popular Palace located in Indore, known for its Historical significance.",ATTRACTION,4.4,rajwada_palace.jpg,0,0,Indore
Gwalior Fort,"Gwalior Fort is a popular Fort located in Gwalior, known for its Historical significance.",ATTRACTION,4.5,gwalior_fort.jpg,0,0,Gwalior
Mahakaleshwar Jyotirlinga,"Mahakaleshwar Jyotirlinga is a popular Temple located in Ujjain, known for its Religious significance.",ATTRACTION,4.8,mahakaleshwar_jyotirlinga.jpg,0,0,Ujjain
Dhuandhar Falls,"Dhuandhar Falls is a popular Waterfall located in Jabalpur, known for its Nature significance.",ATTRACTION,4.5,dhuandhar_falls.jpg,0,0,Jabalpur
Bee Falls,"Bee Falls is a popular Waterfall located in Pachmarhi, known for its Nature significance.",ATTRACTION,4.6,bee_falls.jpg,0,0,Pachmarhi
Kanha National Park,"Kanha National Park is a popular Wildlife Sanctuary located in Kanha, known for its Wildlife significance.",ATTRACTION,4.5,kanha_national_park.jpg,0,0,Kanha
Bandhavgarh National Park,"Bandhavgarh National Park is a popular National Park located in Bandhavgarh, known for its Wildlife significance.",ATTRACTION,4.5,bandhavgarh_national_park.jpg,0,0,Bandhavgarh
Orchha Fort,"Orchha Fort is a popular Fort located in Orchha, known for its Historical significance.",ATTRACTION,4.8,orchha_fort.jpg,0,0,Orchha
Jahaz Mahal,"Jahaz Mahal is a popular Site located in Mandu, known for its Historical significance.",ATTRACTION,3.9,jahaz_mahal.jpg,0,0,Mandu
Bhimbetka Rock Shelters,"Bhimbetka Rock Shelters is a popular Prehistoric Site located in Bhimbetka, known for its Archaeological significance.",ATTRACTION,4.6,bhimbetka_rock_shelters.jpg,0,0,Bhimbetka
Narmada Udgam Temple,"Narmada Udgam Temple is a popular Temple located in Amarkantak, known for its Religious significance.",ATTRACTION,4.4,narmada_udgam_temple.jpg,0,0,Amarkantak
Chitrakoot Falls,"Chitrakoot Falls is a popular Waterfall located in Chitrakoot, known for its Nature significance.",ATTRACTION,4.4,chitrakoot_falls.jpg,0,0,Chitrakoot
The Ridge,"The Ridge is a popular Scenic Point located in Shimla, known for its Recreational significance.",ATTRACTION,4.7,the_ridge.jpg,0,0,Shimla
Solang Valley,"Solang Valley is a popular Valley located in Manali, known for its Adventure significance.",ATTRACTION,4.1,solang_valley.jpg,0,0,Manali
Dalai Lama Temple,"Dalai Lama Temple is a popular Temple located in dalhousie, known for its Religious significance.",ATTRACTION,4.7,dalai_lama_temple.jpg,0,0,dalhousie
Khajjiar Lake,"Khajjiar Lake is a popular Lake located in Dalhousie, known for its Nature significance.",ATTRACTION,4.5,khajjiar_lake.jpg,0,0,Dalhousie
Key Monastery,"Key Monastery is a popular Monastery located in Spiti Valley, known for its Religious significance.",ATTRACTION,4.8,key_monastery.jpg,0,0,Spiti Valley
Great Himalayan National Park,"Great Himalayan National Park is a popular National Park located in Kullu, known for its Wildlife significance.",ATTRACTION,4.5,great_himalayan_national_park.jpg,0,0,Kullu
Chamera Lake,"Chamera Lake is a popular Lake located in Chamba, known for its Recreational significance.",ATTRACTION,4.4,chamera_lake.jpg,0,0,Chamba
Sangla Valley,"Sangla Valley is a popular Valley located in Kinnaur, known for its Nature significance.",ATTRACTION,4.5,sangla_valley.jpg,0,0,Kinnaur
Kangra Fort,"Kangra Fort is a popular Fort located in Kangra, known for its Historical significance.",ATTRACTION,4.4,kangra_fort.jpg,0,0,Kangra
Tea Gardens,"Tea Gardens is a popular Tea Plantation located in Palampur, known for its Agricultural significance.",ATTRACTION,4.6,tea_gardens.jpg,0,0,Palampur
Prashar Lake,"Prashar Lake is a popular Lake located in Mandi, known for its Nature significance.",ATTRACTION,4.6,prashar_lake.jpg,0,0,Mandi
Paragliding Site,"Paragliding Site is a popular Adventure Sport located in Bir Billing, known for its Adventure significance.",ATTRACTION,4.8,paragliding_site.jpg,0,0,Bir Billing
Triund Trek,"Triund Trek is a popular Trekking located in McLeod Ganj, known for its Adventure significance.",ATTRACTION,4.8,triund_trek.jpg,0,0,McLeod Ganj
Manikaran Sahib,"Manikaran Sahib is a popular Gurudwara located in Manikaran, known for its Religious significance.",ATTRACTION,4.6,manikaran_sahib.jpg,0,0,Manikaran
Hatu Peak,"Hatu Peak is a popular Viewpoint located in Narkanda, known for its Nature significance.",ATTRACTION,4.5,hatu_peak.jpg,0,0,Narkanda
Barot Valley,"Barot Valley is a popular Valley located in Barot, known for its Nature significance.",ATTRACTION,4.7,barot_valley.jpg,0,0,Barot
Serolsar Lake,"Serolsar Lake is a popular Lake located in Shoja, known for its Nature significance.",ATTRACTION,4.4,serolsar_lake.jpg,0,0,Shoja
Kufri Fun World,"Kufri Fun World is a popular Ski Resort located in Kufri, known for its Recreational significance.",ATTRACTION,3.8,kufri_fun_world.jpg,0,0,Kufri
Naini Lake,"Naini Lake is a popular Lake located in Nainital, known for its Nature significance.",ATTRACTION,4.2,naini_lake.jpg,0,0,Nainital
Laxman Jhula,"Laxman Jhula is a popular Suspension Bridge located in Rishikesh, known for its Cultural significance.",ATTRACTION,4.4,laxman_jhula.jpg,0,0,Rishikesh
Har Ki Pauri,"Har Ki Pauri is a popular Ghat located in Haridwar, known for its Religious significance.",ATTRACTION,4.5,har_ki_pauri.jpg,0,0,Haridwar
Robber's Cave,"Robber's Cave is a popular Cave located in Dehradun, known for its Nature significance.",ATTRACTION,4.5,robber's_cave.jpg,0,0,Dehradun
Kempty Falls,"Kempty Falls is a popular Waterfall located in Mussoorie, known for its Nature significance.",ATTRACTION,4.2,kempty_falls.jpg,0,0,Mussoorie
